sr.no,depute geography,depute country,depute Branch,depute datacenter,questions,answer
1,Oceania,Australia,Pune Office,DC-05,Strength of Company,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 Thank you. (ref:1)
2,Africa,South Africa,Mumbai Office,Cloud-West,What do you appreciate most about Company?,J'apprécie la culture collaborative et les opportunités de développement. (ref:2)
3,Africa,South Africa,Paris Office,DC-04,Where can team support be improved,ツールと自動化への投資を増やすと良いでしょう。 (ref:3)
4,Asia,Japan,Seoul Office,Cloud-West,Areas of improvement,J'apprécie la culture collaborative et les opportunités de développement. (ref:4)
5,South America,Brazil,Tokyo Hub,Cloud-West,What do you appreciate most about Company?,强有力的领导和明确的战略方向。 (ref:5)
6,Asia,Singapore,Paris Office,DC-02,Where can team support be improved,Starke Führung und klare strategische Ausrichtung. (ref:6)
7,Africa,Kenya,Mumbai Office,DC-04,What do you appreciate most about Company?,Strong leadership and clear strategic direction. (ref:7)
8,Asia,Japan,Sydney Office,DC-02,Where can team support be improved,El apoyo del equipo podría mejorar con SLAs más claros y respuestas más rápidas. (ref:8)
9,Europe,Spain,Madrid Office,DC-04,Areas of improvement,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:9)
10,Africa,Nigeria,Paris Office,DC-04,Strength of Company,Liderazgo fuerte y dirección estratégica clara. (ref:10)
11,Oceania,Australia,Singapore Office,Cloud-East,What do you appreciate most about Company?,Me gusta el ambiente de trabajo colaborativo y las oportunidades de crecimiento. (ref:11)
12,North America,Canada,Tokyo Hub,DC-04,Areas of improvement,Mehr Investitionen in Tools und Automatisierung wären hilfreich. (ref:12)
13,Oceania,New Zealand,Berlin Branch,DC-05,Strength of Company,在工具和自动化方面投入更多会有帮助。 (ref:13)
14,Oceania,New Zealand,Mumbai Office,Cloud-West,Areas of improvement,我很欣赏公司的协作文化和职业发展机会。 (ref:14)
15,Asia,India,Sydney Office,DC-02,Strength of Company,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:15)
16,Asia,Singapore,Beijing Center,DC-07,Where can team support be improved,在工具和自动化方面投入更多会有帮助。 (ref:16)
17,Asia,India,Singapore Office,DC-06,Areas of improvement,Liderança forte e direção estratégica clara. Danke! (ref:17)
18,Europe,United Kingdom,Pune Office,DC-05,Strength of Company,Aprecio a cultura colaborativa e as oportunidades de crescimento. (ref:18)
19,South America,Peru,Mumbai Office,DC-04,Strength of Company,会社の協力的な文化と成長の機会を評価しています。 (ref:19)
20,Africa,South Africa,Mumbai Office,Cloud-East,Where can team support be improved,强有力的领导和明确的战略方向。 (ref:20)
21,South America,Argentina,Pune Office,DC-04,What do you appreciate most about Company?,Mehr Investitionen in Tools und Automatisierung wären hilfreich. (ref:21)
22,Africa,Nigeria,Berlin Branch,Cloud-Africa,Strength of Company,Team support could be improved by clearer SLAs and faster responses. (ref:22)
23,Europe,Italy,Toronto Branch,DC-04,Areas of improvement,Die Teamunterstützung könnte durch klarere SLAs und schnellere Reaktionen verbessert werden。 (ref:23)
24,North America,Mexico,Cape Town Hub,DC-02,Strength of Company,Liderança forte e direção estratégica clara. Obrigado. (ref:24)
25,Europe,Italy,São Paulo Unit,DC-01,What do you appreciate most about Company?,Me gusta el ambiente de trabajo colaborativo y las oportunidades de crecimiento. (ref:25)
26,Asia,China,Tokyo Hub,DC-06,Strength of Company,Mehr Investitionen in Tools und Automatisierung wären hilfreich. (ref:26)
27,Europe,Italy,Mumbai Office,Cloud-Africa,Strength of Company,More investment in tooling and automation would help. Gracias. (ref:27)
28,Oceania,New Zealand,Madrid Office,Cloud-West,Where can team support be improved,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 Thank you. (ref:28)
29,Oceania,Australia,Pune Office,Cloud-West,Areas of improvement,Aprecio a cultura colaborativa e as oportunidades de crescimento. Strong leadership and clear strategic direction. Obrigado. (ref:29)
30,North America,USA,Beijing Center,DC-03,Areas of improvement,Ich schätze die kollaborative Kultur und die Entwicklungsmöglichkeiten. (ref:30)
31,Africa,South Africa,Pune Office,DC-06,What do you appreciate most about Company?,明確なSLAと迅速な対応でチームのサポートを改善できます。 Strong leadership and clear strategic direction. 会社の協力的な文化と成長の機会を評価しています。 (ref:31)
32,North America,USA,Sydney Office,Cloud-West,What do you appreciate most about Company?,I appreciate the collaborative culture and growth opportunities. (ref:32)
33,South America,Colombia,New York Branch,Cloud-West,Where can team support be improved,Starke Führung und klare strategische Ausrichtung. (ref:33)
34,Asia,South Korea,Seoul Office,DC-06,What do you appreciate most about Company?,Me gusta el ambiente de trabajo colaborativo y las oportunidades de crecimiento. Danke! (ref:34)
35,Africa,Nigeria,Pune Office,DC-06,What do you appreciate most about Company?,Ich schätze die kollaborative Kultur und die Entwicklungsmöglichkeiten. Team support could be improved by clearer SLAs and faster responses. 谢谢。 (ref:35)
36,North America,USA,Mumbai Office,DC-04,What do you appreciate most about Company?,More investment in tooling and automation would help. (ref:36)
37,Africa,Kenya,New York Branch,DC-04,Areas of improvement,強力なリーダーシップと明確な戦略的方向性。 Thank you. (ref:37)
38,South America,Colombia,Madrid Office,DC-02,What do you appreciate most about Company?,ツールと自動化への投資を増やすと良いでしょう。 (ref:38)
39,Asia,South Korea,São Paulo Unit,DC-06,Areas of improvement,强有力的领导和明确的战略方向。 (ref:39)
40,Europe,Spain,New York Branch,DC-03,Where can team support be improved,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 Starke Führung und klare strategische Ausrichtung. (ref:40)
41,Oceania,Australia,Singapore Office,DC-06,Areas of improvement,Aprecio a cultura colaborativa e as oportunidades de crescimento. 我很欣赏公司的协作文化和职业发展机会。 (ref:41)
42,Asia,South Korea,Berlin Branch,DC-05,Areas of improvement,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 (ref:42)
43,Oceania,New Zealand,Paris Office,Cloud-Africa,Areas of improvement,Me gusta el ambiente de trabajo colaborativo y las oportunidades de crecimiento. Ich schätze die kollaborative Kultur und die Entwicklungsmöglichkeiten. (ref:43)
44,South America,Brazil,Pune Office,Cloud-East,Strength of Company,Liderazgo fuerte y dirección estratégica clara. Danke! (ref:44)
45,Africa,Egypt,Paris Office,DC-01,What do you appreciate most about Company?,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 (ref:45)
46,Africa,South Africa,Sydney Office,Cloud-East,Strength of Company,Me gusta el ambiente de trabajo colaborativo y las oportunidades de crecimiento. (ref:46)
47,Asia,China,São Paulo Unit,DC-04,What do you appreciate most about Company?,在工具和自动化方面投入更多会有帮助。 (ref:47)
48,North America,Mexico,Seoul Office,DC-03,Strength of Company,会社の協力的な文化と成長の機会を評価しています。 More investment in tooling and automation would help. Thank you. (ref:48)
49,South America,Colombia,Toronto Branch,DC-04,Areas of improvement,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 Gracias. (ref:49)
50,North America,USA,São Paulo Unit,Cloud-Africa,Areas of improvement,Strong leadership and clear strategic direction. (ref:50)
51,Oceania,Australia,Beijing Center,Cloud-East,Areas of improvement,明確なSLAと迅速な対応でチームのサポートを改善できます。 Liderazgo fuerte y dirección estratégica clara. (ref:51)
52,Africa,Egypt,Singapore Office,DC-06,Areas of improvement,Aprecio a cultura colaborativa e as oportunidades de crescimento. Liderazgo fuerte y dirección estratégica clara. よろしくお願いします。 (ref:52)
53,Asia,India,Mumbai Office,Cloud-West,Areas of improvement,Liderança forte e direção estratégica clara. (ref:53)
54,Africa,South Africa,Beijing Center,DC-07,Strength of Company,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 (ref:54)
55,Africa,Nigeria,Madrid Office,Cloud-West,What do you appreciate most about Company?,Liderança forte e direção estratégica clara. Team support could be improved by clearer SLAs and faster responses. (ref:55)
56,Asia,China,Paris Office,DC-05,Where can team support be improved,O suporte da equipe pode ser melhorado com SLAs mais claros e respostas mais rápidas。 (ref:56)
57,Europe,France,Beijing Center,Cloud-West,Strength of Company,Starke Führung und klare strategische Ausrichtung. (ref:57)
58,Asia,China,New York Branch,DC-04,Where can team support be improved,Team support could be improved by clearer SLAs and faster responses. (ref:58)
59,North America,Canada,Cape Town Hub,DC-04,Where can team support be improved,通过更清晰的服务级别协议和更快的响应可以改善团队支持。 Gracias. (ref:59)
60,South America,Peru,Singapore Office,DC-07,Areas of improvement,明確なSLAと迅速な対応でチームのサポートを改善できます。 (ref:60)
61,South America,Argentina,Toronto Branch,DC-04,Strength of Company,Strong leadership and clear strategic direction. (ref:61)
62,Africa,South Africa,Cape Town Hub,Cloud-West,Strength of Company,強力なリーダーシップと明確な戦略的方向性。 (ref:62)
